tsne_1,tsne_2,dataset_source
39.900112,-13.78078,Real Data
72.01624,25.026709,Real Data
-31.694454,5.129671,Real Data
25.958416,9.950461,Real Data
54.51985,-7.0705957,Real Data
51.564663,2.5578246,Real Data
8.007078,65.39424,Real Data
2.650016,4.1584353,Real Data
-53.17004,-36.245205,Real Data
-29.411768,-32.18835,Real Data
32.131744,-6.651429,Real Data
-63.233204,-31.112251,Real Data
-14.206197,47.999275,Real Data
-17.226109,27.204344,Real Data
-36.25499,-8.093532,Real Data
1.4500952,-16.786715,Real Data
13.9187565,22.718117,Real Data
49.08613,18.595083,Real Data
-29.335596,-23.434937,Real Data
9.589516,11.474003,Real Data
51.021744,-13.635423,Real Data
46.280247,6.5400333,Real Data
-2.918596,26.384844,Real Data
3.6451147,-11.049895,Real Data
14.940528,-14.963366,Real Data
51.874126,-21.229649,Real Data
-32.861645,-19.140223,Real Data
-6.460187,-28.491678,Real Data
-4.523722,-11.9979,Real Data
24.323748,42.940716,Real Data
26.294617,-6.9143887,Real Data
-9.197463,45.041077,Real Data
23.251633,-5.7172637,Real Data
48.222527,7.620295,Real Data
56.556442,-11.588309,Real Data
-8.35178,-44.450134,Real Data
26.53054,46.201286,Real Data
18.25982,32.20594,Real Data
-56.56001,-11.369965,Real Data
-34.127346,7.449964,Real Data
-30.6008,-42.13616,Real Data
52.14729,3.118535,Real Data
-22.502739,-38.793034,Real Data
-16.54588,52.097755,Real Data
-30.304308,-48.1478,Real Data
30.198832,32.395027,Real Data
-76.080574,-26.03731,Real Data
-71.654785,-22.890244,Real Data
27.221613,38.01683,Real Data
21.769339,50.001545,Real Data
-29.11979,-7.79074,Real Data
-27.726604,-44.979908,Real Data
11.492739,19.14347,Real Data
35.35074,-16.768885,Real Data
-10.455988,-10.631435,Real Data
12.347272,7.1989474,Real Data
-3.5999024,-52.43278,Real Data
-20.971556,-5.7358274,Real Data
3.6255758,-26.072912,Real Data
51.493908,-7.327571,Real Data
-48.384003,-4.212982,Real Data
-6.5950894,-19.21421,Real Data
-11.36828,-32.89656,Real Data
29.952967,-27.974388,Real Data
11.020684,7.5929,Real Data
-14.035946,29.250502,Real Data
50.73395,38.84568,Real Data
-36.879032,-20.92969,Real Data
41.13838,16.267534,Real Data
29.084839,43.908726,Real Data
-35.268703,5.5935955,Real Data
-3.599752,-52.433136,Real Data
7.392724,22.86542,Real Data
47.580536,-19.709042,Real Data
25.62556,-6.385767,Real Data
-41.87256,8.891724,Real Data
26.320448,-9.569244,Real Data
26.00997,33.86898,Real Data
-47.029156,-36.85265,Real Data
-3.4317915,53.69014,Real Data
35.286995,-10.598587,Real Data
8.760704,7.048636,Real Data
-40.630116,4.197267,Real Data
18.58375,20.347115,Real Data
41.21304,-13.079137,Real Data
-17.46399,-47.844696,Real Data
-14.233428,-33.716526,Real Data
6.448853,-49.53916,Real Data
-18.653158,-37.163525,Real Data
-17.929874,-48.03732,Real Data
-29.577887,-9.104621,Real Data
18.323753,-25.741224,Real Data
1.6629448,-25.06401,Real Data
-17.999184,-30.662338,Real Data
-59.577034,-24.817827,Real Data
4.0755076,34.05601,Real Data
11.223081,60.951794,Real Data
-25.762249,1.9781072,Real Data
19.209227,-13.111335,Real Data
-6.1531777,-29.78705,Real Data
-23.422194,4.7006855,Real Data
59.561493,-2.6274571,Real Data
57.560047,-12.712298,Real Data
-23.602016,17.888943,Real Data
-10.856511,26.19334,Real Data
6.286416,5.1785574,Real Data
-4.2431903,-37.073643,Real Data
23.659098,-38.018124,Real Data
49.296562,-21.460955,Real Data
17.518768,6.2776623,Real Data
13.557447,-26.001966,Real Data
56.68534,-1.8323151,Real Data
-13.540998,7.780367,Real Data
-22.84087,32.049664,Real Data
-19.422295,-29.464304,Real Data
-0.5905724,35.89557,Real Data
-18.585848,-25.066721,Real Data
7.807699,-36.20214,Real Data
-15.7726145,7.3249464,Real Data
30.46865,4.7816443,Real Data
9.924923,28.2545,Real Data
51.144936,-4.8042736,Real Data
66.05616,33.73265,Real Data
3.8689709,39.81778,Real Data
-16.542746,19.759722,Real Data
-10.070813,-1.1510339,Real Data
5.431135,-33.880238,Real Data
-12.739687,-21.299383,Real Data
-16.532274,-7.5158896,Real Data
27.727556,-20.03097,Real Data
-5.297868,7.7324743,Real Data
-11.806007,-41.920338,Real Data
33.470398,-5.188659,Real Data
22.872206,2.739653,Real Data
-2.2557669,-57.66178,Real Data
47.910183,0.42818835,Real Data
-19.934662,39.18965,Real Data
32.552135,18.458044,Real Data
-15.794258,-4.4277487,Real Data
24.97305,5.9630184,Real Data
-3.890344,24.132544,Real Data
20.005646,-16.133545,Real Data
-18.47739,29.499666,Real Data
-22.765602,33.30211,Real Data
39.864544,7.0942936,Real Data
10.105215,-50.31817,Real Data
-15.277816,7.5485497,Real Data
14.875708,-7.0018516,Real Data
