dataset,variable_1,variable_2,real_mi,synthetic_mi,signed_diff,absolute_diff
SHARE,marry,pubpen,0.00837083482447526,0.004250725151267537,-0.0041201096732077225,0.0041201096732077225
SHARE,income_bin,pubpen,0.006892096206351839,0.004315034961076991,-0.0025770612452748476,0.0025770612452748476
SHARE,hospital,pubpen,0.004127137463543165,0.0020615691613276865,-0.0020655683022154786,0.0020655683022154786
SHARE,marry,hospital,0.0009292397897888993,2.264441896707159e-05,-0.0009065953708218277,0.0009065953708218277
SHARE,gender,satlife,0.0009801820341004183,0.00013919080948852913,-0.0008409912246118891,0.0008409912246118891
SHARE,pubpen,satlife,0.001044006922924709,0.00024890659017106666,-0.0007951003327536423,0.0007951003327536423
SHARE,hospital,social_need,0.0004991085388203059,0.0011835498141097162,0.0006844412752894102,0.0006844412752894102
SHARE,gender,exercise,0.0008140183529416478,0.0002539510812083201,-0.0005600672717333277,0.0005600672717333277
SHARE,family_size,hospital,0.0015475565071700651,0.0011695538369602481,-0.000378002670209817,0.000378002670209817
SHARE,gender,pubpen,0.00042416051883564787,8.68678706663073e-05,-0.00033729264816934057,0.00033729264816934057
SHARE,age_bin,hospital,0.007357451049083086,0.0076581396384104924,0.00030068858932740666,0.00030068858932740666
SHARE,gender,hospital,0.00033788356145830756,5.0377347188074184e-05,-0.0002875062142702334,0.0002875062142702334
SHARE,gender,social_need,0.00035039206907810927,0.0005747761073762736,0.00022438403829816433,0.00022438403829816433
SHARE,edu,hospital,0.0006690053857646427,0.0007899466591959059,0.00012094127343126315,0.00012094127343126315
SHARE,income_bin,hospital,0.0005253871749342498,0.0005218038841606765,-3.5832907735733333e-06,3.5832907735733333e-06
SHARE,family_size,health_status,0.011485909482470755,0.011485909482470755,0.0,0.0
SHARE,age_bin,edu,0.03265916002459,0.03265916002459,0.0,0.0
SHARE,age_bin,income_bin,0.012627542448030313,0.012627542448030313,0.0,0.0
SHARE,age_bin,family_size,0.056049904405846465,0.056049904405846465,0.0,0.0
SHARE,age_bin,health_status,0.07278038773975828,0.07278038773975828,0.0,0.0
SHARE,gender,marry,0.015350272781326502,0.015350272781326502,0.0,0.0
SHARE,gender,edu,0.0026419287315425366,0.0026419287315425366,0.0,0.0
SHARE,gender,income_bin,0.0025978593404997197,0.0025978593404997197,0.0,0.0
SHARE,gender,family_size,0.01161137528099678,0.01161137528099678,0.0,0.0
SHARE,gender,health_status,0.000441470080264475,0.000441470080264475,0.0,0.0
SHARE,marry,edu,0.00326609267992381,0.00326609267992381,0.0,0.0
SHARE,marry,income_bin,0.02144445265133388,0.02144445265133388,0.0,0.0
SHARE,marry,family_size,0.2653103461267458,0.2653103461267458,0.0,0.0
SHARE,marry,health_status,0.00729290431306643,0.00729290431306643,0.0,0.0
SHARE,edu,income_bin,0.03905565570289865,0.03905565570289865,0.0,0.0
SHARE,edu,family_size,0.004258991806011759,0.004258991806011759,0.0,0.0
SHARE,edu,health_status,0.016286317644729802,0.016286317644729802,0.0,0.0
SHARE,age_bin,marry,0.01882503956703048,0.01882503956703048,0.0,0.0
SHARE,income_bin,family_size,0.024971696855071123,0.024971696855071123,0.0,0.0
SHARE,income_bin,health_status,0.007527984224375197,0.007527984224375197,0.0,0.0
SHARE,age_bin,gender,0.0010529688211731447,0.0010529688211731447,0.0,0.0
