dataset,variable_1,variable_2,real_mi,synthetic_mi,signed_diff,absolute_diff
CHARLS,income_bin,ins,0.0034797686557116667,3.540206765147158e-05,-0.003444366588060195,0.003444366588060195
CHARLS,edu,ins,0.002384602898905224,0.005619062251972104,0.00323445935306688,0.00323445935306688
CHARLS,family_size,hospital,0.0015967582465291194,0.0047033666864491315,0.003106608439920012,0.003106608439920012
CHARLS,gender,exercise,6.935022468848584e-05,0.003056180953552423,0.0029868307288639373,0.0029868307288639373
CHARLS,family_size,ins,0.0022163983592555702,0.005092984461367436,0.0028765861021118654,0.0028765861021118654
CHARLS,family_size,exercise,0.0023639419771843747,0.005206262788460478,0.0028423208112761033,0.0028423208112761033
CHARLS,marry,ins,0.0029011452163563503,0.00017257074465396732,-0.002728574471702383,0.002728574471702383
CHARLS,gender,satlife,0.00281148693880353,0.00045067446466712235,-0.0023608124741364075,0.0023608124741364075
CHARLS,age_bin,exercise,0.00831899442845007,0.010145235458980911,0.001826241030530841,0.001826241030530841
CHARLS,income_bin,hospital,0.003213563976295186,0.0016592504130911179,-0.0015543135632040683,0.0015543135632040683
CHARLS,marry,hospital,0.0013039031663780037,0.002600979225467981,0.0012970760590899771,0.0012970760590899771
CHARLS,hospital,ins,1.9600422567565834e-05,0.0012488716097040012,0.0012292711871364354,0.0012292711871364354
CHARLS,exercise,ins,0.0017689385444816172,0.0006247583328792064,-0.0011441802116024108,0.0011441802116024108
CHARLS,hospital,satlife,0.0016226743643876704,0.0027344858924005823,0.001111811528012912,0.001111811528012912
CHARLS,hospital,exercise,0.0011060083679229615,0.00013410054545159866,-0.0009719078224713629,0.0009719078224713629
CHARLS,marry,exercise,0.0034778419705774333,0.0025334760630396913,-0.000944365907537742,0.000944365907537742
CHARLS,income_bin,satlife,0.008093940122754155,0.007255408654700646,-0.0008385314680535091,0.0008385314680535091
CHARLS,gender,social_need,0.0009551925356934832,0.001714177469975875,0.0007589849342823918,0.0007589849342823918
CHARLS,gender,hospital,3.4705317673133784e-05,0.0006007227924373637,0.0005660174747642299,0.0005660174747642299
CHARLS,gender,ins,0.000553238141833029,1.2267896014370172e-05,-0.0005409702458186588,0.0005409702458186588
CHARLS,ins,social_need,0.0011648315947384788,0.0012694770973268182,0.00010464550258833943,0.00010464550258833943
CHARLS,marry,income_bin,0.01734646719644116,0.017298217061765472,-4.825013467568695e-05,4.825013467568695e-05
CHARLS,income_bin,health_status,0.016771851385669306,0.016724680196293317,-4.7171189375989214e-05,4.7171189375989214e-05
CHARLS,edu,income_bin,0.06282582439766785,0.06278825172126047,-3.757267640737416e-05,3.757267640737416e-05
CHARLS,income_bin,family_size,0.04829600408476913,0.048307996319656626,1.1992234887493736e-05,1.1992234887493736e-05
CHARLS,age_bin,income_bin,0.0333643404715038,0.03336856545077239,4.224979268586948e-06,4.224979268586948e-06
CHARLS,gender,income_bin,0.0005625829541510696,0.0005613516503151783,-1.2313038358913175e-06,1.2313038358913175e-06
CHARLS,age_bin,edu,0.04394413196404054,0.04394413196404054,0.0,0.0
CHARLS,gender,edu,0.03573234756324423,0.03573234756324423,0.0,0.0
CHARLS,age_bin,family_size,0.052364100486229546,0.052364100486229546,0.0,0.0
CHARLS,age_bin,health_status,0.030960186733069623,0.030960186733069623,0.0,0.0
CHARLS,family_size,health_status,0.0054926737240985615,0.0054926737240985615,0.0,0.0
CHARLS,gender,marry,0.007592362925891105,0.007592362925891105,0.0,0.0
CHARLS,age_bin,marry,0.04279695938595303,0.04279695938595303,0.0,0.0
CHARLS,edu,health_status,0.013832840717374055,0.013832840717374055,0.0,0.0
CHARLS,edu,family_size,0.006858838283175385,0.006858838283175385,0.0,0.0
CHARLS,marry,health_status,0.004941670681293801,0.004941670681293801,0.0,0.0
CHARLS,marry,family_size,0.16437283543482947,0.16437283543482947,0.0,0.0
CHARLS,marry,edu,0.01056664216617479,0.01056664216617479,0.0,0.0
CHARLS,gender,health_status,0.005326404125774578,0.005326404125774578,0.0,0.0
CHARLS,gender,family_size,0.0019163180631273976,0.0019163180631273976,0.0,0.0
CHARLS,age_bin,gender,0.0011092811153017024,0.0011092811153017024,0.0,0.0
