dataset,variable_1,variable_2,real_mi,synthetic_mi,signed_diff,absolute_diff
HRS,marry,edu,0.008298839802178992,0.008298839802178992,0.0,0.0
HRS,income_bin,health_status,0.03285504110771935,0.03285504110771935,0.0,0.0
HRS,marry,income_bin,0.10320917033807045,0.10320917033807045,0.0,0.0
HRS,marry,family_size,0.24505499975184636,0.24505499975184636,0.0,0.0
HRS,marry,health_status,0.00968444631280041,0.00968444631280041,0.0,0.0
HRS,edu,income_bin,0.08968145464247394,0.08968145464247394,0.0,0.0
HRS,edu,family_size,0.011144605672914415,0.011144605672914415,0.0,0.0
HRS,edu,health_status,0.012793779520852491,0.012793779520852491,0.0,0.0
HRS,age_bin,marry,0.007762919023683756,0.007762919023683756,0.0,0.0
HRS,income_bin,family_size,0.05919726072435396,0.05919726072435396,0.0,0.0
HRS,family_size,health_status,0.007409412500969499,0.007409412500969499,0.0,0.0
HRS,age_bin,gender,0.0005305198649165899,0.0005305198649165899,0.0,0.0
